"residence_id","start_interval_datetime","end_interval_datetime","leak_rate"
"2","2017-04-09 14:00:00.000","2017-04-13 21:00:00.000","100.0"
"2","2017-04-15 20:00:00.000","2017-04-19 18:00:00.000","100.0"
"2","2017-06-15 21:00:00.000","2017-06-21 19:00:00.000","100.0"
"4","2017-11-28 14:00:00.000","2017-12-01 18:00:00.000","100.0"
"6","2017-09-13 19:00:00.000","2017-09-19 10:00:00.000","300.0"
"6","2017-09-20 23:00:00.000","2017-09-24 20:00:00.000","300.0"
"8","2017-06-30 22:00:00.000","2017-07-03 22:00:00.000","100.0"
"11","2017-04-11 15:00:00.000","2017-04-11 22:00:00.000","142.5"
"11","2017-04-12 14:00:00.000","2017-04-13 06:00:00.000","132.353"
"11","2017-04-12 15:00:00.000","2017-04-12 20:00:00.000","120.0"
"14","2017-08-27 23:00:00.000","2017-08-28 17:00:00.000","367.368"
"15","2017-04-01 23:00:00.000","2017-04-07 11:00:00.000","10.0"
"15","2017-04-07 19:00:00.000","2017-04-18 02:00:00.000","10.0"
"15","2017-04-20 17:00:00.000","2017-04-25 06:00:00.000","10.0"
"15","2017-04-25 16:00:00.000","2017-04-30 17:00:00.000","10.0"
"15","2017-05-01 14:00:00.000","2017-05-07 21:00:00.000","10.0"
"15","2017-05-08 15:00:00.000","2017-05-18 12:00:00.000","10.0"
"15","2017-05-31 03:00:00.000","2017-06-04 07:00:00.000","10.0"
"16","2017-12-16 18:00:00.000","2017-12-17 04:00:00.000","102.727"
"21","2017-12-27 06:00:00.000","2018-01-03 01:00:00.000","10.0"
"26","2017-07-10 05:00:00.000","2017-07-10 13:00:00.000","155.556"
"29","2017-01-18 09:00:00.000","2017-01-25 19:00:00.000","10.0"
"29","2017-01-26 14:00:00.000","2017-01-28 23:00:00.000","125.345"
"29","2017-12-17 21:00:00.000","2017-12-20 20:00:00.000","10.0"
"33","2017-08-02 19:00:00.000","2017-08-03 02:00:00.000","216.25"
"33","2017-08-17 18:00:00.000","2017-08-18 05:00:00.000","190.833"
"39","2017-08-04 16:00:00.000","2017-08-05 03:00:00.000","85.8333"
"40","2017-08-10 11:00:00.000","2017-08-14 23:00:00.000","10.0"
"40","2017-08-15 20:00:00.000","2017-09-05 05:00:00.000","10.0"
"42","2017-12-24 00:00:00.000","2017-12-31 22:00:00.000","30.0"
"43","2017-04-11 16:00:00.000","2017-04-20 01:00:00.000","30.0"
"43","2017-04-25 18:00:00.000","2017-04-28 19:00:00.000","40.0"
"43","2017-05-09 04:00:00.000","2017-05-23 09:00:00.000","40.0"
"43","2017-05-24 16:00:00.000","2017-05-31 04:00:00.000","10.0"
"43","2017-06-10 23:00:00.000","2017-06-11 11:00:00.000","99.2308"
"47","2017-08-30 18:00:00.000","2017-08-31 22:00:00.000","308.621"
"49","2017-08-13 22:00:00.000","2017-08-14 06:00:00.000","88.8889"
"49","2017-09-15 23:00:00.000","2017-09-20 04:00:00.000","10.0"
"50","2017-05-21 18:00:00.000","2017-05-22 02:00:00.000","133.333"
"51","2017-06-02 01:00:00.000","2017-06-02 20:00:00.000","974.5"
"51","2017-07-25 03:00:00.000","2017-07-25 12:00:00.000","665.0"
"51","2017-09-27 01:00:00.000","2017-09-27 11:00:00.000","746.364"
"52","2017-07-11 01:00:00.000","2017-07-15 08:00:00.000","2.0"
"55","2017-04-15 19:00:00.000","2017-04-16 17:00:00.000","257.826"
"57","2017-06-19 04:00:00.000","2017-06-19 16:00:00.000","335.385"
"61","2017-04-01 21:00:00.000","2017-04-02 03:00:00.000","332.857"
"61","2017-04-02 19:00:00.000","2017-04-03 02:00:00.000","362.5"
"61","2017-04-17 20:00:00.000","2017-04-18 02:00:00.000","375.714"
"61","2017-09-12 14:00:00.000","2017-09-17 01:00:00.000","10.0"
"68","2017-07-17 10:00:00.000","2017-07-27 06:00:00.000","10.0"
"68","2017-08-06 22:00:00.000","2017-08-11 07:00:00.000","10.0"
"68","2017-09-30 15:00:00.000","2017-10-09 08:00:00.000","10.0"
"69","2017-06-06 16:00:00.000","2017-06-07 02:00:00.000","112.727"
"69","2017-06-10 17:00:00.000","2017-06-11 03:00:00.000","97.2727"
"72","2017-06-20 12:00:00.000","2017-06-21 02:00:00.000","153.333"
"74","2017-03-27 23:00:00.000","2017-04-04 10:00:00.000","10.0"
"74","2017-04-07 19:00:00.000","2017-04-13 19:00:00.000","10.0"
"74","2017-04-13 21:00:00.000","2017-04-20 03:00:00.000","10.0"
"74","2017-04-20 17:00:00.000","2017-04-25 06:00:00.000","10.0"
"74","2017-04-27 17:00:00.000","2017-05-08 06:00:00.000","10.0"
"74","2017-05-08 15:00:00.000","2017-05-18 11:00:00.000","10.0"
"74","2017-05-24 16:00:00.000","2017-06-03 19:00:00.000","10.0"
"75","2017-08-10 02:00:00.000","2017-08-10 13:00:00.000","130.0"
"79","2017-10-23 22:00:00.000","2017-10-31 16:00:00.000","30.0"
"79","2017-10-31 23:00:00.000","2017-11-06 18:00:00.000","20.0"
"79","2017-12-12 16:00:00.000","2017-12-12 23:00:00.000","297.5"
"91","2017-09-12 05:00:00.000","2017-09-12 12:00:00.000","145.0"
"99","2017-04-13 21:00:00.000","2017-04-14 02:00:00.000","136.667"
"99","2017-10-28 21:00:00.000","2017-10-29 17:00:00.000","239.524"
"103","2017-09-25 16:00:00.000","2017-09-26 07:00:00.000","242.5"
"111","2017-06-23 23:00:00.000","2017-06-27 01:00:00.000","10.0"
"111","2017-06-27 08:00:00.000","2017-07-02 16:00:00.000","10.0"
"111","2017-07-04 00:00:00.000","2017-07-08 12:00:00.000","10.0"
"111","2017-07-08 19:00:00.000","2017-07-12 11:00:00.000","10.0"
"111","2017-07-12 18:00:00.000","2017-07-17 05:00:00.000","10.0"
"113","2017-07-12 10:00:00.000","2017-07-25 03:00:00.000","10.0"
"113","2017-08-03 15:00:00.000","2017-08-08 18:00:00.000","20.0"
"134","2017-04-20 22:00:00.000","2017-04-21 03:00:00.000","325.0"
"136","2017-05-01 15:00:00.000","2017-05-07 10:00:00.000","10.0"
"136","2017-05-08 15:00:00.000","2017-05-18 12:00:00.000","10.0"
"144","2017-05-29 01:00:00.000","2017-05-30 02:00:00.000","240.769"
"145","2017-07-21 01:00:00.000","2017-07-21 11:00:00.000","366.364"
"151","2017-12-18 16:00:00.000","2017-12-19 02:00:00.000","131.818"
"164","2017-10-24 00:00:00.000","2017-11-10 12:00:00.000","10.0"
"164","2017-11-15 15:00:00.000","2017-11-21 13:00:00.000","20.0"
"164","2017-11-21 20:00:00.000","2017-11-24 19:00:00.000","20.0"
"172","2017-04-06 05:00:00.000","2017-04-06 15:00:00.000","340.0"
"172","2017-04-06 08:00:00.000","2017-04-06 13:00:00.000","343.333"
"173","2017-04-02 03:00:00.000","2017-04-02 08:00:00.000","118.333"
"178","2017-12-07 00:00:00.000","2017-12-10 19:00:00.000","10.0"
"180","2017-04-10 03:00:00.000","2017-04-14 08:00:00.000","10.0"
"180","2017-04-15 11:00:00.000","2017-04-20 01:00:00.000","10.0"
"180","2017-04-22 02:00:00.000","2017-04-25 06:00:00.000","10.0"
"180","2017-04-30 07:00:00.000","2017-05-08 09:00:00.000","10.0"
"180","2017-05-10 22:00:00.000","2017-05-21 05:00:00.000","10.0"
"180","2017-05-29 04:00:00.000","2017-06-11 03:00:00.000","10.0"
"180","2017-06-17 11:00:00.000","2017-06-23 10:00:00.000","10.0"
"180","2017-06-23 19:00:00.000","2017-07-07 19:00:00.000","10.0"
"180","2017-08-16 01:00:00.000","2017-08-24 02:00:00.000","10.0"
"180","2017-08-24 09:00:00.000","2017-09-05 19:00:00.000","10.0"
"180","2017-09-30 15:00:00.000","2017-10-11 20:00:00.000","10.0"
"180","2017-10-21 14:00:00.000","2017-10-31 10:00:00.000","10.0"
"187","2017-01-23 06:00:00.000","2017-01-23 11:00:00.000","143.333"
"187","2017-08-16 01:00:00.000","2017-08-24 07:00:00.000","10.0"
"188","2017-06-16 03:00:00.000","2017-06-16 15:00:00.000","274.615"
"194","2017-05-21 05:00:00.000","2017-05-21 23:00:00.000","472.632"
"196","2017-08-31 03:00:00.000","2017-08-31 13:00:00.000","938.182"
"209","2017-01-11 15:00:00.000","2017-01-14 19:00:00.000","100.0"
"209","2017-01-21 19:00:00.000","2017-01-25 11:00:00.000","100.0"
"210","2017-06-15 07:00:00.000","2017-06-15 16:00:00.000","478.0"
"210","2017-07-11 05:00:00.000","2017-07-11 17:00:00.000","641.538"
"217","2017-04-26 07:00:00.000","2017-04-26 14:00:00.000","102.5"
"217","2017-11-14 07:00:00.000","2017-11-14 15:00:00.000","106.667"
"217","2017-12-19 04:00:00.000","2017-12-19 11:00:00.000","107.5"
"222","2017-09-02 18:00:00.000","2017-09-03 13:00:00.000","198.0"
"222","2017-09-26 05:00:00.000","2017-09-26 16:00:00.000","213.333"
"222","2017-10-17 23:00:00.000","2017-10-18 13:00:00.000","262.667"
"224","2017-08-17 05:00:00.000","2017-08-17 13:00:00.000","136.667"
"225","2017-07-19 11:00:00.000","2017-07-20 00:00:00.000","146.429"
"225","2017-07-31 13:00:00.000","2017-07-31 23:00:00.000","152.727"
"225","2017-09-09 20:00:00.000","2017-09-10 04:00:00.000","141.111"
"225","2017-09-21 14:00:00.000","2017-09-22 01:00:00.000","133.333"
"249","2017-04-29 07:00:00.000","2017-04-29 12:00:00.000","81.6667"
"249","2017-10-21 21:00:00.000","2017-10-22 05:00:00.000","85.5556"
"261","2017-01-23 18:00:00.000","2017-01-23 23:00:00.000","160.0"
"274","2017-07-19 03:00:00.000","2017-07-22 22:00:00.000","10.0"
"308","2017-01-16 20:00:00.000","2017-01-17 01:00:00.000","178.333"
"308","2017-06-25 01:00:00.000","2017-06-25 15:00:00.000","198.0"
"308","2017-07-05 23:00:00.000","2017-07-06 14:00:00.000","179.375"
"308","2017-07-07 21:00:00.000","2017-07-08 11:00:00.000","212.0"
"308","2017-07-13 02:00:00.000","2017-07-16 19:00:00.000","10.0"
"308","2017-08-26 10:00:00.000","2017-08-26 17:00:00.000","198.75"
"313","2017-01-26 23:00:00.000","2017-01-27 04:00:00.000","91.6667"
"313","2017-12-02 21:00:00.000","2017-12-03 04:00:00.000","101.25"
"315","2017-06-06 21:00:00.000","2017-06-10 06:00:00.000","10.0"
"315","2017-07-01 13:00:00.000","2017-07-04 12:00:00.000","10.0"
"315","2017-11-27 03:00:00.000","2017-11-30 02:00:00.000","10.0"
"318","2017-01-28 18:00:00.000","2017-01-29 00:00:00.000","260.0"
"319","2017-09-28 03:00:00.000","2017-09-28 12:00:00.000","863.0"
"325","2017-04-04 16:00:00.000","2017-04-04 21:00:00.000","190.0"
"342","2017-09-03 03:00:00.000","2017-09-03 10:00:00.000","192.5"
"342","2017-09-30 18:00:00.000","2017-10-01 01:00:00.000","222.5"
"345","2017-01-04 13:00:00.000","2017-01-08 11:00:00.000","1.0"
"345","2017-04-08 03:00:00.000","2017-04-15 13:00:00.000","1.0"
"345","2017-05-09 21:00:00.000","2017-05-13 20:00:00.000","1.0"
"345","2017-05-13 22:00:00.000","2017-05-18 00:00:00.000","1.0"
"345","2017-05-18 15:00:00.000","2017-05-24 11:00:00.000","1.0"
"345","2017-05-26 15:00:00.000","2017-05-31 20:00:00.000","1.0"
"345","2017-06-24 17:00:00.000","2017-06-28 11:00:00.000","1.0"
"345","2017-07-09 17:00:00.000","2017-07-10 03:00:00.000","155.455"
"345","2017-07-16 22:00:00.000","2017-07-17 06:00:00.000","125.0"
"345","2017-07-31 13:00:00.000","2017-08-03 16:00:00.000","1.0"
"345","2017-09-04 20:00:00.000","2017-09-07 23:00:00.000","2.0"
"345","2017-09-10 00:00:00.000","2017-09-12 23:00:00.000","1.0"
"345","2017-09-13 09:00:00.000","2017-09-25 00:00:00.000","1.0"
"345","2017-09-30 15:00:00.000","2017-10-04 00:00:00.000","1.0"
"345","2017-10-04 02:00:00.000","2017-10-09 09:00:00.000","1.0"
"345","2017-10-25 05:00:00.000","2017-11-10 11:00:00.000","1.0"
"345","2017-11-23 03:00:00.000","2017-11-28 16:00:00.000","1.0"
"345","2017-11-30 14:00:00.000","2017-12-06 22:00:00.000","1.0"
"345","2017-12-10 03:00:00.000","2017-12-14 15:00:00.000","2.0"
"345","2017-12-16 15:00:00.000","2018-01-03 03:00:00.000","1.0"
"349","2017-06-07 23:00:00.000","2017-06-16 19:00:00.000","20.0"
"358","2017-05-31 16:00:00.000","2017-05-31 23:00:00.000","186.25"
"359","2017-10-10 18:00:00.000","2017-10-11 01:00:00.000","115.0"
"361","2017-07-15 18:00:00.000","2017-07-16 02:00:00.000","176.667"
"363","2017-07-28 20:00:00.000","2017-08-04 12:00:00.000","10.0"
"363","2017-08-10 06:00:00.000","2017-08-14 23:00:00.000","10.0"
"363","2017-08-15 20:00:00.000","2017-08-19 22:00:00.000","10.0"
"368","2017-09-08 03:00:00.000","2017-09-08 19:00:00.000","150.0"
"373","2017-09-14 20:00:00.000","2017-09-18 06:00:00.000","10.0"
"375","2017-04-16 06:00:00.000","2017-04-16 18:00:00.000","209.231"
"375","2017-07-05 22:00:00.000","2017-07-06 18:00:00.000","247.143"
"375","2017-07-12 06:00:00.000","2017-07-17 19:00:00.000","20.0"
"375","2017-07-20 05:00:00.000","2017-07-27 08:00:00.000","10.0"
"375","2017-08-25 01:00:00.000","2017-09-05 22:00:00.000","10.0"
"375","2017-09-06 22:00:00.000","2017-09-19 13:00:00.000","10.0"
"375","2017-09-15 22:00:00.000","2017-09-16 06:00:00.000","101.111"
"375","2017-09-16 17:00:00.000","2017-09-17 01:00:00.000","113.333"
"375","2017-09-20 21:00:00.000","2017-09-26 05:00:00.000","30.0"
"375","2017-09-26 12:00:00.000","2017-09-29 13:00:00.000","30.0"
"375","2017-10-02 13:00:00.000","2017-10-07 16:00:00.000","20.0"
"375","2017-10-26 17:00:00.000","2017-11-07 22:00:00.000","10.0"
"375","2017-11-09 11:00:00.000","2017-11-23 18:00:00.000","20.0"
"375","2017-11-27 09:00:00.000","2017-12-03 13:00:00.000","20.0"
"375","2017-12-03 20:00:00.000","2017-12-07 17:00:00.000","30.0"
"376","2017-06-23 19:00:00.000","2017-06-27 17:00:00.000","10.0"
"380","2017-08-30 17:00:00.000","2017-09-05 00:00:00.000","10.0"
"387","2017-04-04 06:00:00.000","2017-04-07 10:00:00.000","10.0"
"388","2017-05-05 13:00:00.000","2017-05-05 21:00:00.000","312.222"
"390","2017-01-22 12:00:00.000","2017-01-25 19:00:00.000","10.0"
"436","2017-09-03 11:00:00.000","2017-09-03 22:00:00.000","100.0"
"465","2017-03-29 07:00:00.000","2017-03-30 00:00:00.000","128.889"
"466","2017-12-01 17:00:00.000","2017-12-02 05:00:00.000","141.538"
"476","2017-03-29 16:00:00.000","2017-03-30 05:00:00.000","190.0"
"476","2017-09-29 06:00:00.000","2017-09-29 13:00:00.000","185.0"
"502","2017-04-28 21:00:00.000","2017-05-05 21:00:00.000","60.0"
"502","2017-04-29 13:00:00.000","2017-04-29 20:00:00.000","93.75"
"502","2017-04-29 23:00:00.000","2017-05-05 21:00:00.000","124.476"
"502","2017-04-30 16:00:00.000","2017-04-30 21:00:00.000","110.0"
"502","2017-05-04 19:00:00.000","2017-05-05 05:00:00.000","127.273"
"502","2017-05-07 06:00:00.000","2017-05-07 15:00:00.000","84.0"
"502","2017-05-07 21:00:00.000","2017-05-08 05:00:00.000","85.5556"
"502","2017-05-08 15:00:00.000","2017-05-17 04:00:00.000","20.0"
"512","2017-12-08 03:00:00.000","2017-12-11 19:00:00.000","10.0"
"512","2017-12-16 15:00:00.000","2017-12-21 09:00:00.000","10.0"
"512","2017-12-22 02:00:00.000","2018-01-02 01:00:00.000","10.0"
"517","2017-04-14 12:00:00.000","2017-04-18 15:00:00.000","10.0"
"533","2017-08-30 22:00:00.000","2017-09-05 01:00:00.000","10.0"
"547","2017-04-10 10:00:00.000","2017-04-10 15:00:00.000","155.0"
"547","2017-04-11 10:00:00.000","2017-04-12 02:00:00.000","126.471"
"547","2017-04-11 11:00:00.000","2017-04-11 18:00:00.000","132.5"
"558","2017-01-03 02:00:00.000","2017-01-17 21:00:00.000","10.0"
"558","2017-01-18 04:00:00.000","2017-01-23 18:00:00.000","10.0"
"558","2017-01-18 09:00:00.000","2017-01-18 14:00:00.000","118.333"
"558","2017-01-22 09:00:00.000","2017-01-23 18:00:00.000","115.294"
"558","2017-01-24 01:00:00.000","2017-01-25 07:00:00.000","131.613"
"558","2017-01-25 12:00:00.000","2017-01-25 19:00:00.000","201.25"
"558","2017-01-26 03:00:00.000","2017-01-29 00:00:00.000","169.286"
